episode,global_step,episodes_completed,reward,loss,epsilon,steps,slices,current_max_slices,attempts,rejected_slices,covered,hard_total,crop_new_detection_gain,crop_new_detection_utility,crop_tp_gain,crop_fp_gain,crop_outcome_reward,val_recall,val_slices,val_score,val_mAP50,val_small_recall,val_fp_per_image,val_crops,val_benchmark_score
107,13274,107,-25.235866,0.075575,0.159313,152,3,5,16,13,0,0,5,3.462891,2,3,-11.168555,,,,,,,,
108,13325,108,199.189017,0.072983,0.156083,102,6,6,12,6,20,72,44,20.102783,26,19,53.551392,,,,,,,,
109,13330,109,-3.110106,0.073981,0.155767,156,2,5,16,14,2,14,8,3.15918,4,4,-5.62041,,,,,,,,
110,13542,110,80.878126,0.071462,0.14234,82,6,6,10,4,12,66,41,16.908447,13,28,3.654224,,,,,,,,
111,13651,111,474.442473,0.076502,0.135437,146,4,6,16,12,8,130,24,11.379883,11,13,9.589941,,,,,,,,
112,13800,112,-7.339181,0.076314,0.126,213,0,5,16,16,0,8,0,0.0,0,0,-14.4,,,,,,,,
113,14377,113,24.661447,0.068584,0.089457,121,2,6,16,14,4,26,3,1.156982,0,3,-18.321509,,,,,,,,
114,14629,114,59.318158,0.066403,0.073497,155,2,6,16,14,4,41,9,4.471436,4,5,-5.264282,,,,,,,,
115,14652,115,2.37426,0.068108,0.07204,153,2,6,16,14,2,17,10,4.115234,3,7,-9.042383,,,,,,,,
116,14730,116,-20.376584,0.064706,0.0671,91,0,7,16,16,0,15,0,0.0,0,0,-19.2,,,,,,,,
117,15556,117,-16.496849,0.062292,0.05,167,1,6,16,15,1,4,5,1.891846,1,4,-15.254077,,,,,,,,
118,15616,118,-55.411352,0.068024,0.05,258,0,6,16,16,0,5,0,0.0,0,0,-6.0,,,,,,,,
119,15902,119,-59.471595,0.067347,0.05,219,3,6,16,13,0,0,11,5.231689,4,7,-5.484155,,,,,,,,
120,16104,120,158.004222,0.065372,0.05,144,4,7,16,12,4,42,13,5.327393,5,8,-7.536304,,,,,,,,
121,16315,121,-47.871621,0.065708,0.05,226,0,6,16,16,0,1,1,0.368408,0,1,-14.515796,,,,,,,,
122,16367,122,-40.999958,0.06467,0.05,194,2,7,16,14,0,0,3,1.562988,0,3,-19.318506,,,,,,,,
123,16567,123,-37.348882,0.063488,0.05,233,1,6,16,15,0,0,3,1.236084,0,3,-20.681958,,,,,,,,
